gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,3392,6144,ck,7,0,17.5294,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.38,1189.62,0.0
gfx950,256,2,3392,6144,ck,7,0,17.4691,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.77,1194.47,0.0
gfx950,256,4,3392,6144,ck,7,0,17.5521,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.5,1190.29,0.0
gfx950,256,8,3392,6144,ck,7,0,17.5673,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.98,1192.21,0.0
gfx950,256,16,3392,6144,ck,7,0,15.7111,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,42.45,1339.64,0.0
gfx950,256,32,3392,6144,ck,7,0,15.5329,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,85.87,1368.33,0.0
gfx950,256,64,3392,6144,ck,7,0,15.4966,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,172.14,1398.23,0.0
gfx950,256,128,3392,6144,ck,12,0,16.5691,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,321.99,1357.66,0.0
gfx950,256,256,3392,6144,ck,17,0,19.3757,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,550.71,1246.41,0.0
gfx950,256,512,3392,6144,ck,17,0,29.6257,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,720.34,926.88,0.0
gfx950,256,1024,3392,6144,ck,15,0,53.2595,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,801.38,639.86,0.0065
gfx950,256,2048,3392,6144,cktile,11,0,77.1232,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1106.83,613.52,0.0
gfx950,256,4096,3392,6144,cktile,27,0,151.1676,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1129.38,488.16,0.0
gfx950,256,8192,3392,6144,cktile,29,0,228.7531,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1492.66,554.08,0.0
